	Team	HRâ–¼
1	Detroit Tigers	151
2	Toronto Blue Jays	232
3	Kansas City Royals	139
4	San Francisco Giants	136
5	Colorado Rockies	186
6	Boston Red Sox	161
7	Arizona Diamondbacks	154
8	Miami Marlins	120
9	Pittsburgh Pirates	140
10	Texas Rangers	172
11	Cleveland Indians	141
12	St. Louis Cardinals	137
13	Tampa Bay Rays	167
14	Milwaukee Brewers	145
15	Atlanta Braves	100
16	Washington Nationals	177
17	New York Yankees	212
18	Oakland Athletics	146
19	Los Angeles Dodgers	187
20	Baltimore Orioles	217
21	Houston Astros	230
22	Chicago White Sox	136
23	Seattle Mariners	198
24	Philadelphia Phillies	130
25	Cincinnati Reds	167
26	Minnesota Twins	156
27	Los Angeles Angels	176
28	New York Mets	177
29	Chicago Cubs	171
30	San Diego Padres	148
31	Toronto Blue Jays	232
